datetime,open,high,low,close,volume
2025-04-28,5544.0,5578.75,5492.0,5553.0,1198801
2025-04-29,5543.0,5597.25,5521.5,5583.75,1227182
2025-04-30,5579.5,5626.25,5455.5,5587.0,1833646
2025-05-01,5617.5,5682.5,5601.75,5623.25,1388619
2025-05-02,5608.5,5724.75,5601.0,5709.0,1383367
2025-05-05,5705.0,5706.25,5655.25,5671.75,989373
2025-05-06,5666.25,5673.25,5605.0,5625.75,1303877
2025-05-07,5608.5,5689.75,5596.0,5652.0,1390561
2025-05-08,5643.25,5741.0,5636.5,5684.5,1428613
2025-05-09,5688.5,5715.25,5662.5,5678.0,1029418
2025-05-12,5761.0,5876.25,5734.25,5865.0,1765593
2025-05-13,5868.0,5927.0,5835.75,5904.5,1335457
2025-05-14,5902.0,5925.0,5890.0,5908.5,1207202
2025-05-15,5904.0,5944.5,5867.0,5933.25,1291986
2025-05-16,5935.0,5977.5,5923.0,5975.5,1180875
2025-05-19,5930.25,5987.5,5892.75,5982.5,1245859
2025-05-20,5980.0,5993.5,5926.75,5959.75,1112908
2025-05-21,5953.5,5958.25,5847.75,5861.25,1548946
2025-05-22,5858.0,5895.0,5828.75,5856.75,1419522
2025-05-23,5869.25,5872.0,5756.5,5817.0,1537693
2025-05-27,5820.0,5941.75,5813.0,5934.25,1288369
2025-05-28,5940.75,5952.5,5890.0,5902.75,1181330
2025-05-29,5923.5,6008.0,5884.0,5922.75,1414864
2025-05-30,5912.25,5932.75,5853.25,5916.0,1633334
2025-06-02,5898.75,5955.5,5867.5,5947.25,1194125
2025-06-03,5949.0,5991.25,5909.25,5981.5,1154297
2025-06-04,5980.0,5999.0,5974.0,5981.0,1097088
2025-06-05,5974.25,6016.5,5928.75,5946.0,0
2025-06-06,5931.75,6025.0,5930.0,6006.75,1278102
2025-06-09,6010.0,6027.75,5992.25,6010.25,912371
2025-06-10,6012.25,6049.5,5991.25,6045.0,1104373
2025-06-11,6038.75,6074.75,6006.25,6029.0,1610313
2025-06-12,6022.25,6051.25,5987.75,6049.5,1330953
2025-06-13,6045.0,6045.0,5927.5,5979.25,2162167
2025-06-16,5949.0,6055.25,5944.0,6035.75,1744867
2025-06-17,6038.5,6040.5,5976.75,5985.0,870571
2025-06-18,5977.25,6020.75,5964.75,5981.5,0
2025-06-20,5984.0,6019.25,5918.25,6010.2099609375,1694443
2025-06-23,5964.0,6081.5,5959.0,6077.0,1358034
2025-06-24,6078.0,6155.25,6075.25,6146.25,1077333
2025-06-25,6144.75,6160.25,6130.75,6147.0,902500
2025-06-26,6144.75,6200.0,6141.25,6195.0,1039428
2025-06-27,6197.5,6239.0,6183.25,6223.75,1353399
2025-06-30,6223.25,6265.5,6223.25,6253.75,1364101
2025-07-01,6245.75,6261.5,6227.25,6248.75,1320618
2025-07-02,6247.75,6279.5,6235.5,6275.0,1044261
2025-07-03,6276.5,6333.25,6270.5,6324.25,0
2025-07-04,6320.75,6322.75,6276.5,6283.5,0
2025-07-07,6307.75,6315.0,6246.25,6276.0,1376613
2025-07-08,6262.5,6289.0,6254.5,6272.0,1073914
2025-07-09,6272.0,6315.25,6260.0,6307.25,1144723
2025-07-10,6306.0,6335.5,6287.5,6324.25,948393
2025-07-11,6323.0,6330.25,6276.75,6300.0,1100047
2025-07-14,6274.0,6315.0,6259.75,6311.0,909223
2025-07-15,6309.5,6343.0,6272.5,6284.0,1279068
2025-07-16,6273.75,6308.75,6241.0,6303.25,1462969
2025-07-17,6299.25,6345.5,6288.25,6340.5,1052843
2025-07-18,6342.5,6357.0,6323.25,6334.75,1050307
2025-07-21,6335.75,6374.0,6329.75,6344.75,934271
2025-07-22,6347.0,6353.75,6318.75,6346.75,1130356
2025-07-23,6346.5,6407.25,6342.75,6396.25,1203541
2025-07-24,6404.0,6418.25,6391.5,6401.5,1073595
