entry_time,exit_time,direction,entry,exit,stop,target,reason,risk_ticks,partial_r,remainder_r,total_r,moved_be,partial_taken,sweep_level,month
2026-03-20 04:20:00,2026-03-20 04:22:00,long,24596.5,24590.75,24590.75,24613.75,stop,23.0,0.0,-1.0,-1.0,False,False,overnight_low,2026-03
2026-03-23 04:50:00,2026-03-23 04:54:00,long,23932.25,23932.25,23926.25,23950.25,stop_ambiguous,24.0,1.0,0.0,1.0,True,True,overnight_low,2026-03
2026-04-02 03:20:00,2026-04-02 03:22:00,long,23823.25,23805.25,23805.25,23877.25,stop,72.0,0.0,-1.0,-1.0,False,False,overnight_low,2026-04
2026-04-09 04:46:00,2026-04-09 04:50:00,long,24988.0,24979.25,24979.25,25014.25,stop,35.0,0.0,-1.0,-1.0,False,False,overnight_low,2026-04
